Name,DataTypeCode,NewPlot,X,Y,Depth,UseObsdata,dfs0file name,dfs0ItemNumber
91.25_1,101,1,604655.00,6229113.00,18.75,1,..\..\MapsDK\Hdata\91.25_1,1
93.1062_2,101,1,470686.67,6206881.71,127.00,1,..\..\MapsDK\Hdata\93.1062_2,1
93.1062_3,101,1,470686.67,6206881.71,111.00,1,..\..\MapsDK\Hdata\93.1062_3,1
93.795_1,101,1,466894.93,6212321.69,71.00,1,..\..\MapsDK\Hdata\93.795_1,1
93.992_1,101,1,463427.93,6210678.16,72.00,1,..\..\MapsDK\Hdata\93.992_1,1
94.1920_1,101,1,474088.43,6208806.96,38.50,1,..\..\MapsDK\Hdata\94.1920_1,1
94.1920_2,101,1,474088.43,6208806.96,17.15,1,..\..\MapsDK\Hdata\94.1920_2,1
94.2476_1,101,1,480001.00,6204604.00,24.75,1,..\..\MapsDK\Hdata\94.2476_1,1
94.2476_2,101,1,480001.00,6204604.00,21.70,1,..\..\MapsDK\Hdata\94.2476_2,1
94.2476_3,101,1,480001.00,6204604.00,19.50,1,..\..\MapsDK\Hdata\94.2476_3,1
94.2476_4,101,1,480001.00,6204604.00,16.50,1,..\..\MapsDK\Hdata\94.2476_4,1
94.2476_5,101,1,480001.00,6204604.00,14.50,1,..\..\MapsDK\Hdata\94.2476_5,1
95.1919_1,101,1,509767.25,6210913.08,25.50,1,..\..\MapsDK\Hdata\95.1919_1,1
95.1919_2,101,1,509767.25,6210913.08,6.50,1,..\..\MapsDK\Hdata\95.1919_2,1
97.21_1,101,1,541758.00,6203285.00,55.20,1,..\..\MapsDK\Hdata\97.21_1,1
98.1295_1,101,1,551374.99,6204913.99,1.31,1,..\..\MapsDK\Hdata\98.1295_1,1
98.1296_1,101,1,550886.02,6205769.99,1.25,1,..\..\MapsDK\Hdata\98.1296_1,1
98.1297_1,101,1,551740.01,6206366.01,1.18,1,..\..\MapsDK\Hdata\98.1297_1,1
98.1299_1,101,1,552117.02,6204844.00,4.89,1,..\..\MapsDK\Hdata\98.1299_1,1
98.544_1,101,1,565377.00,6213398.00,15.00,1,..\..\MapsDK\Hdata\98.544_1,1
98.916_21,101,1,566814.00,6202725.00,55.50,1,..\..\MapsDK\Hdata\98.916_21,1
98.943_1,101,1,551555.00,6204053.00,4.90,1,..\..\MapsDK\Hdata\98.943_1,1
98.944_1,101,1,551374.00,6204914.00,5.50,1,..\..\MapsDK\Hdata\98.944_1,1
98.945_1,101,1,550885.00,6205770.00,5.50,1,..\..\MapsDK\Hdata\98.945_1,1
98.946_1,101,1,551739.00,6206365.00,5.10,1,..\..\MapsDK\Hdata\98.946_1,1
98.947_1,101,1,551314.00,6205474.00,5.50,1,..\..\MapsDK\Hdata\98.947_1,1
98.948_1,101,1,552117.00,6204846.00,5.50,1,..\..\MapsDK\Hdata\98.948_1,1
98.949_1,101,1,552018.00,6207142.00,7.47,1,..\..\MapsDK\Hdata\98.949_1,1
98.950_1,101,1,552097.82,6206755.65,9.96,1,..\..\MapsDK\Hdata\98.950_1,1
98.951_1,101,1,552553.00,6206592.00,12.21,1,..\..\MapsDK\Hdata\98.951_1,1
98.954_1,101,1,551866.00,6205227.00,5.60,1,..\..\MapsDK\Hdata\98.954_1,1
98.955_1,101,1,551661.00,6204727.22,4.40,1,..\..\MapsDK\Hdata\98.955_1,1
98.956_1,101,1,551883.00,6204134.00,5.50,1,..\..\MapsDK\Hdata\98.956_1,1
99.407_1,101,1,569243.00,6202027.00,22.50,1,..\..\MapsDK\Hdata\99.407_1,1
99.416_1,101,1,568062.00,6202552.00,33.00,1,..\..\MapsDK\Hdata\99.416_1,1
99.417_1,101,1,568593.00,6201889.00,27.00,1,..\..\MapsDK\Hdata\99.417_1,1
99.474_11,101,1,567974.00,6202269.00,39.50,1,..\..\MapsDK\Hdata\99.474_11,1
99.555_1,101,1,568646.00,6213012.00,76.96,1,..\..\MapsDK\Hdata\99.555_1,1
99.569_1,101,1,569093.00,6212510.00,75.00,1,..\..\MapsDK\Hdata\99.569_1,1
99.570_1,101,1,568224.00,6212694.00,78.00,1,..\..\MapsDK\Hdata\99.570_1,1
99.572_1,101,1,568486.00,6212706.00,71.00,1,..\..\MapsDK\Hdata\99.572_1,1
99.573_1,101,1,568692.00,6212547.00,69.00,1,..\..\MapsDK\Hdata\99.573_1,1
99.575_1,101,1,568858.00,6213342.00,89.00,1,..\..\MapsDK\Hdata\99.575_1,1
99.630_1,101,1,567779.94,6201440.38,16.50,1,..\..\MapsDK\Hdata\99.630_1,1
99.633_1,101,1,572201.54,6215081.61,104.00,1,..\..\MapsDK\Hdata\99.633_1,1
